frame,person,KP_1_x,KP_1_y,KP_1_confidence,KP_2_x,KP_2_y,KP_2_confidence,KP_3_x,KP_3_y,KP_3_confidence,KP_4_x,KP_4_y,KP_4_confidence,KP_5_x,KP_5_y,KP_5_confidence,KP_6_x,KP_6_y,KP_6_confidence,KP_7_x,KP_7_y,KP_7_confidence,KP_8_x,KP_8_y,KP_8_confidence,KP_9_x,KP_9_y,KP_9_confidence,KP_10_x,KP_10_y,KP_10_confidence,KP_11_x,KP_11_y,KP_11_confidence,KP_12_x,KP_12_y,KP_12_confidence,KP_13_x,KP_13_y,KP_13_confidence,KP_14_x,KP_14_y,KP_14_confidence,KP_15_x,KP_15_y,KP_15_confidence,KP_16_x,KP_16_y,KP_16_confidence,KP_17_x,KP_17_y,KP_17_confidence,KP_18_x,KP_18_y,KP_18_confidence,KP_19_x,KP_19_y,KP_19_confidence,KP_20_x,KP_20_y,KP_20_confidence,KP_21_x,KP_21_y,KP_21_confidence,KP_22_x,KP_22_y,KP_22_confidence,KP_23_x,KP_23_y,KP_23_confidence,KP_24_x,KP_24_y,KP_24_confidence,KP_25_x,KP_25_y,KP_25_confidence
0,1,166.306,149.047,0.926144,178.669,228.175,0.826048,89.5786,262.841,0.745501,161.373,421.207,0.810339,304.786,369.203,0.6492,265.299,203.333,0.76959,364.164,319.778,0.848753,233.111,347.081,0.585898,272.694,438.473,0.627978,208.443,460.765,0.629447,267.876,656.273,0.722988,361.836,762.709,0.65248,337.026,413.789,0.601252,443.515,581.946,0.765143,381.548,690.953,0.392577,143.977,126.731,0.916659,186.044,129.09,0.934576,106.913,139.048,0.816258,208.275,136.572,0.690095,0.0,0.0,0.0,0.0,0.0,0.0,364.308,698.378,0.175385,354.397,841.838,0.454998,342.045,831.983,0.416641,386.526,760.274,0.497117
1,1,166.309,149.06,0.931351,178.673,228.169,0.826757,89.5863,262.838,0.743664,161.374,421.207,0.80974,304.795,369.198,0.655705,265.287,200.987,0.767563,364.164,319.778,0.848512,233.135,347.062,0.589396,270.32,436.064,0.626475,208.428,460.758,0.627981,267.861,656.337,0.730256,364.168,762.702,0.675112,337.022,413.778,0.599879,443.504,579.58,0.75977,381.53,690.957,0.422394,143.98,126.765,0.919474,186.061,129.113,0.936233,106.906,136.585,0.81743,208.283,136.569,0.648551,0.0,0.0,0.0,0.0,0.0,0.0,364.24,693.448,0.202456,354.431,839.494,0.455027,344.412,829.539,0.42098,386.518,760.247,0.515356
2,1,166.302,149.053,0.934015,178.663,228.165,0.827063,89.5911,262.836,0.742609,161.374,421.207,0.809388,304.795,369.2,0.65681,265.279,200.977,0.766819,364.166,319.778,0.848431,233.141,347.053,0.597907,270.317,436.059,0.626925,208.431,460.755,0.627731,267.896,656.274,0.725833,361.845,762.701,0.676346,334.63,413.75,0.599734,443.512,579.569,0.758082,379.151,690.968,0.414395,143.975,126.765,0.916119,186.065,129.117,0.93747,106.913,134.19,0.818567,208.298,136.574,0.635419,0.0,0.0,0.0,0.0,0.0,0.0,364.253,695.898,0.193712,356.846,839.473,0.460637,344.412,829.532,0.4261,386.501,760.247,0.517681
3,1,166.303,149.044,0.933509,178.659,228.157,0.826111,89.5871,262.828,0.741077,161.39,421.198,0.810596,304.814,369.201,0.656971,265.279,200.965,0.765856,364.161,319.774,0.846815,233.144,347.05,0.598122,270.322,436.062,0.625935,208.436,460.755,0.627184,270.211,656.299,0.719564,361.844,762.711,0.676329,337.03,413.782,0.59893,443.512,579.574,0.758094,381.537,690.937,0.428292,143.981,126.761,0.917368,186.065,129.115,0.938678,106.92,136.581,0.815913,208.31,134.183,0.625495,0.0,0.0,0.0,0.0,0.0,0.0,364.251,693.443,0.202038,356.846,839.477,0.45975,344.415,829.536,0.425687,386.498,760.257,0.520572
4,1,166.306,149.056,0.932753,178.656,228.154,0.827074,89.5873,262.83,0.741576,161.392,421.197,0.811009,304.814,369.203,0.654238,265.274,200.953,0.765458,364.159,319.77,0.847159,233.124,347.063,0.587032,272.683,436.071,0.626125,208.445,460.745,0.625768,270.2,656.265,0.722249,361.83,762.705,0.673492,337.028,413.787,0.59939,443.507,579.56,0.75606,381.584,688.532,0.429397,143.988,126.77,0.919274,186.065,129.116,0.937414,106.916,136.585,0.816679,208.306,134.174,0.620811,0.0,0.0,0.0,0.0,0.0,0.0,364.267,693.421,0.202325,356.832,839.488,0.454217,344.413,829.556,0.417224,384.17,760.253,0.521544
5,1,166.309,149.05,0.934619,178.64,228.147,0.827634,89.5896,262.833,0.743066,161.379,421.206,0.811978,304.834,369.196,0.659416,265.255,200.933,0.761679,364.161,319.757,0.846927,235.556,347.012,0.598859,272.683,436.081,0.626399,208.446,460.752,0.627557,267.893,656.279,0.727692,361.846,762.71,0.670407,337.029,413.795,0.598509,443.518,579.602,0.763297,379.12,693.39,0.419518,143.98,126.767,0.919711,186.08,129.122,0.942427,106.917,136.578,0.814342,208.307,136.596,0.604174,0.0,0.0,0.0,0.0,0.0,0.0,364.261,695.911,0.199436,356.845,839.48,0.457539,344.418,829.544,0.421082,386.494,760.263,0.516602
6,1,166.317,149.048,0.934236,178.643,228.15,0.827468,89.5911,262.838,0.742605,161.374,421.21,0.811162,304.836,369.195,0.657297,265.259,200.938,0.762555,364.155,319.76,0.846476,235.563,347.008,0.601229,272.684,436.075,0.626193,208.443,460.75,0.62747,267.897,656.263,0.724834,361.835,762.706,0.674521,337.03,413.789,0.599165,443.507,579.57,0.759253,379.161,690.988,0.423926,143.976,126.75,0.916435,186.082,129.106,0.943096,106.913,136.584,0.813327,208.298,136.597,0.597096,0.0,0.0,0.0,0.0,0.0,0.0,364.267,695.898,0.202895,356.865,839.468,0.46604,344.429,829.534,0.428379,386.49,760.255,0.520885
7,1,166.313,149.028,0.93547,178.646,228.152,0.827808,89.5973,262.836,0.742813,161.359,421.214,0.809876,304.846,369.197,0.658312,265.261,200.942,0.762844,364.153,319.758,0.845652,235.554,347.009,0.599233,272.687,436.082,0.625991,208.446,460.755,0.626079,270.199,656.276,0.722309,361.827,762.71,0.672424,337.027,413.799,0.597825,443.519,579.596,0.762775,381.525,690.958,0.426309,143.98,126.739,0.918178,186.071,129.082,0.94283,106.928,136.619,0.813663,208.295,136.573,0.610212,0.0,0.0,0.0,0.0,0.0,0.0,364.266,695.895,0.204692,356.886,839.47,0.456637,344.439,829.53,0.421001,384.165,760.255,0.519952
8,1,166.316,149.023,0.933491,178.634,228.155,0.82758,89.5878,262.844,0.745584,161.354,421.224,0.809866,304.84,369.193,0.654133,265.262,200.948,0.763597,364.152,319.759,0.845087,235.558,347.005,0.59409,272.713,438.475,0.627108,208.46,460.756,0.625797,267.879,656.251,0.725357,361.834,762.689,0.67714,337.042,413.81,0.599582,443.511,579.569,0.759883,379.133,693.402,0.42109,143.998,126.723,0.919538,186.061,129.071,0.940368,106.927,136.628,0.812929,208.286,136.585,0.631313,0.0,0.0,0.0,0.0,0.0,0.0,364.277,698.371,0.202547,356.879,839.448,0.459392,344.433,829.516,0.424616,384.17,760.24,0.522971
9,1,166.324,149.017,0.934482,176.254,228.151,0.827828,89.5875,262.844,0.745221,161.349,421.213,0.807877,304.82,369.201,0.653027,265.258,200.943,0.76397,364.156,319.767,0.84669,233.147,347.038,0.601715,272.689,436.077,0.626736,208.447,460.743,0.625431,267.845,656.254,0.735856,361.819,762.686,0.675409,337.035,413.803,0.598731,443.523,579.555,0.758929,379.139,690.969,0.436664,143.995,126.727,0.917592,186.06,129.07,0.942264,106.932,136.654,0.819003,208.274,136.611,0.628479,0.0,0.0,0.0,0.0,0.0,0.0,364.241,693.436,0.219799,356.89,839.438,0.45531,344.431,829.502,0.422219,384.157,760.227,0.527501
