frame,person,KP_1_x,KP_1_y,KP_1_confidence,KP_2_x,KP_2_y,KP_2_confidence,KP_3_x,KP_3_y,KP_3_confidence,KP_4_x,KP_4_y,KP_4_confidence,KP_5_x,KP_5_y,KP_5_confidence,KP_6_x,KP_6_y,KP_6_confidence,KP_7_x,KP_7_y,KP_7_confidence,KP_8_x,KP_8_y,KP_8_confidence,KP_9_x,KP_9_y,KP_9_confidence,KP_10_x,KP_10_y,KP_10_confidence,KP_11_x,KP_11_y,KP_11_confidence,KP_12_x,KP_12_y,KP_12_confidence,KP_13_x,KP_13_y,KP_13_confidence,KP_14_x,KP_14_y,KP_14_confidence,KP_15_x,KP_15_y,KP_15_confidence,KP_16_x,KP_16_y,KP_16_confidence,KP_17_x,KP_17_y,KP_17_confidence,KP_18_x,KP_18_y,KP_18_confidence,KP_19_x,KP_19_y,KP_19_confidence,KP_20_x,KP_20_y,KP_20_confidence,KP_21_x,KP_21_y,KP_21_confidence,KP_22_x,KP_22_y,KP_22_confidence,KP_23_x,KP_23_y,KP_23_confidence,KP_24_x,KP_24_y,KP_24_confidence,KP_25_x,KP_25_y,KP_25_confidence
0,1,243.157,129.656,0.876556,234.267,200.812,0.793026,171.922,187.59,0.784576,131.949,292.044,0.882843,105.142,370.103,0.742061,292.133,205.384,0.779568,296.612,309.908,0.873254,296.659,401.247,0.834178,205.372,347.892,0.784459,169.616,345.548,0.777384,120.743,370.02,0.752936,147.448,557.052,0.733837,243.157,354.49,0.752344,285.446,421.307,0.767646,252.013,594.863,0.63522,229.798,109.625,0.83355,263.21,114.095,0.879192,205.28,113.926,0.820535,289.84,122.956,0.675584,274.288,670.587,0.404588,278.8,663.879,0.461425,225.38,606.025,0.430914,118.467,592.659,0.579785,113.982,585.988,0.597973,165.199,572.664,0.581673
1,1,243.19,129.572,0.858542,232.06,200.789,0.778735,169.779,187.57,0.7898,131.868,292.178,0.888788,102.934,372.324,0.737927,292.06,205.355,0.775834,296.595,309.904,0.877302,296.602,401.23,0.837977,205.336,347.819,0.797229,167.503,345.526,0.773532,118.5,370.076,0.763519,149.554,557.084,0.744643,241.054,350.093,0.768164,285.429,419.061,0.779057,254.308,588.234,0.657014,232.009,107.364,0.819481,265.392,114.078,0.87271,205.268,111.727,0.806162,287.708,122.968,0.645253,265.438,655.031,0.38298,276.584,652.776,0.46479,232.033,599.37,0.475731,116.205,592.636,0.577929,111.838,583.801,0.57546,167.371,574.864,0.598596
2,1,243.222,125.19,0.842897,229.827,196.44,0.771987,169.8,185.365,0.79228,131.858,292.104,0.8836,100.683,374.496,0.744259,289.875,205.414,0.763358,296.566,309.834,0.865035,296.623,401.214,0.826872,205.297,347.728,0.809205,167.464,343.38,0.765621,116.261,372.291,0.796031,149.574,557.031,0.741038,240.99,347.904,0.79818,283.195,416.712,0.763741,256.493,577.152,0.685351,232.057,102.883,0.829137,265.466,114.0,0.863585,205.258,107.349,0.791915,287.68,120.759,0.642172,252.079,628.299,0.415549,269.91,628.3,0.485746,236.511,592.713,0.462416,116.211,592.628,0.572854,111.84,583.777,0.571059,167.388,572.654,0.611718
3,1,243.238,125.159,0.839508,227.627,198.597,0.781042,169.749,185.36,0.804956,131.854,289.93,0.857931,98.5019,372.317,0.727318,289.843,207.525,0.755547,294.478,309.842,0.874019,296.607,401.218,0.816747,205.267,345.651,0.808154,167.425,345.473,0.76405,114.057,376.745,0.810898,149.621,557.076,0.749723,240.974,347.865,0.800861,283.267,414.606,0.738622,256.543,574.838,0.682193,232.049,100.752,0.837539,267.626,113.961,0.859638,205.235,107.344,0.786511,287.664,120.74,0.635633,252.063,628.326,0.372238,269.875,628.288,0.416869,238.621,586.001,0.465893,113.999,590.474,0.596263,111.75,581.612,0.560676,167.484,574.841,0.633403
4,1,243.237,125.158,0.839887,229.767,198.594,0.778926,169.757,185.356,0.80325,131.854,289.93,0.856525,98.5027,372.321,0.726686,289.85,207.526,0.756284,294.488,309.844,0.873507,296.601,401.228,0.81517,205.269,345.639,0.80801,167.429,343.385,0.762379,114.057,376.746,0.811188,149.621,557.073,0.749666,240.977,347.855,0.80106,283.266,414.573,0.730738,256.543,574.842,0.679214,232.05,100.751,0.837793,267.626,113.961,0.860036,205.238,107.347,0.786997,287.665,120.741,0.63868,252.051,630.475,0.361474,267.637,628.297,0.399789,238.617,586.005,0.463516,113.998,590.474,0.595949,111.75,581.612,0.560315,167.484,574.839,0.633115
5,1,243.238,125.183,0.839269,227.609,198.58,0.785313,169.745,185.315,0.802652,131.893,287.653,0.833881,98.4682,374.483,0.69058,287.716,207.556,0.754419,294.492,309.892,0.88366,296.623,401.23,0.810649,205.242,347.721,0.80656,167.378,345.495,0.757708,109.58,381.192,0.811319,149.652,554.862,0.757787,240.952,347.853,0.803172,283.279,414.547,0.735322,256.582,572.651,0.691151,232.048,100.759,0.834554,267.631,113.97,0.863328,205.222,107.353,0.793284,287.656,120.763,0.650494,256.456,621.601,0.467001,274.344,621.617,0.517636,238.692,581.613,0.471805,111.79,590.412,0.656394,109.545,581.564,0.608921,167.52,568.221,0.675235
6,1,243.237,127.353,0.840197,227.563,196.437,0.793036,169.713,185.312,0.811219,131.906,287.68,0.845018,98.4663,376.7,0.658192,287.704,207.548,0.748032,294.446,309.909,0.880797,296.66,401.248,0.805155,205.275,345.62,0.810847,167.408,345.486,0.76441,100.705,381.243,0.826012,149.642,554.871,0.746332,240.988,347.816,0.807969,283.254,412.385,0.733527,256.56,572.641,0.685535,234.201,102.912,0.8272,265.465,114.014,0.86702,205.224,107.369,0.787855,287.671,122.951,0.658755,254.265,614.93,0.451119,274.284,614.978,0.526717,238.724,583.774,0.449913,109.54,588.212,0.627511,105.124,581.546,0.592408,167.544,568.241,0.678267
7,1,243.213,129.592,0.859543,225.422,196.372,0.80066,169.673,185.278,0.81366,131.898,287.68,0.84835,98.4927,370.093,0.626187,287.66,205.412,0.748659,294.42,309.855,0.851742,298.816,401.262,0.793746,205.269,347.742,0.814551,167.402,345.553,0.766511,98.3946,383.347,0.863062,149.591,557.016,0.747241,240.987,347.843,0.800387,283.209,414.621,0.757489,256.439,577.088,0.672283,232.042,107.326,0.817091,265.395,114.086,0.875047,203.179,109.563,0.792303,285.489,122.971,0.647221,252.059,628.329,0.398146,274.271,630.486,0.45433,236.437,592.693,0.414644,98.5266,586.039,0.660163,98.4536,579.396,0.619914,167.508,568.223,0.665016
8,1,241.04,131.863,0.915375,227.55,192.008,0.795639,169.696,185.274,0.813296,131.924,287.687,0.854306,100.68,367.826,0.594574,287.686,205.305,0.762249,294.43,298.852,0.75527,296.595,401.138,0.831514,205.295,347.84,0.805417,167.39,345.643,0.761112,96.2246,383.346,0.85823,140.719,557.012,0.722676,241.017,350.043,0.774029,278.834,421.244,0.773408,252.081,590.456,0.625855,229.769,113.907,0.860378,261.053,116.296,0.879532,203.177,111.778,0.803862,285.469,127.427,0.671557,245.411,641.662,0.441766,267.645,641.676,0.547168,227.584,603.846,0.420177,82.8634,594.866,0.705298,80.735,586.007,0.60556,156.361,570.427,0.606075
9,1,240.975,134.014,0.930341,227.635,191.952,0.781935,169.758,185.243,0.799781,134.017,285.438,0.85652,100.7,365.63,0.611836,287.722,205.241,0.756991,294.413,301.046,0.760033,296.586,401.189,0.848204,205.23,347.866,0.797363,165.263,345.652,0.759363,96.2422,383.32,0.861766,136.307,557.088,0.733699,240.951,352.231,0.772165,276.655,423.453,0.76902,254.261,590.453,0.620852,225.441,114.018,0.890191,260.968,118.456,0.874894,203.154,113.981,0.791177,283.263,129.638,0.667506,232.059,643.911,0.414453,249.836,646.048,0.474694,232.045,601.611,0.393515,76.1988,594.812,0.684826,76.2048,583.824,0.571989,154.126,572.666,0.610534
