frame,person,KP_1_x,KP_1_y,KP_1_confidence,KP_2_x,KP_2_y,KP_2_confidence,KP_3_x,KP_3_y,KP_3_confidence,KP_4_x,KP_4_y,KP_4_confidence,KP_5_x,KP_5_y,KP_5_confidence,KP_6_x,KP_6_y,KP_6_confidence,KP_7_x,KP_7_y,KP_7_confidence,KP_8_x,KP_8_y,KP_8_confidence,KP_9_x,KP_9_y,KP_9_confidence,KP_10_x,KP_10_y,KP_10_confidence,KP_11_x,KP_11_y,KP_11_confidence,KP_12_x,KP_12_y,KP_12_confidence,KP_13_x,KP_13_y,KP_13_confidence,KP_14_x,KP_14_y,KP_14_confidence,KP_15_x,KP_15_y,KP_15_confidence,KP_16_x,KP_16_y,KP_16_confidence,KP_17_x,KP_17_y,KP_17_confidence,KP_18_x,KP_18_y,KP_18_confidence,KP_19_x,KP_19_y,KP_19_confidence,KP_20_x,KP_20_y,KP_20_confidence,KP_21_x,KP_21_y,KP_21_confidence,KP_22_x,KP_22_y,KP_22_confidence,KP_23_x,KP_23_y,KP_23_confidence,KP_24_x,KP_24_y,KP_24_confidence,KP_25_x,KP_25_y,KP_25_confidence
10,1,197.541,137.556,0.885164,248.963,199.681,0.846586,186.892,197.568,0.781318,148.306,285.451,0.860976,126.83,368.894,0.912041,315.301,204.022,0.734191,315.382,300.38,0.860707,304.671,388.194,0.817923,214.688,351.845,0.803685,178.256,347.491,0.768697,144.045,424.682,0.778766,118.319,608.838,0.613596,251.147,360.343,0.73652,296.091,437.462,0.825608,272.575,608.849,0.72319,193.286,122.606,0.817296,212.652,122.624,0.911396,0.0,0.0,0.0,270.434,114.017,0.816136,251.144,636.724,0.590347,278.938,640.981,0.662906,270.423,621.666,0.47301,111.959,681.686,0.466121,103.29,673.125,0.422469,116.172,619.564,0.375208
11,1,197.537,135.491,0.886474,248.961,199.686,0.847476,186.865,197.575,0.783387,148.304,285.442,0.862619,126.834,368.888,0.912747,313.292,204.01,0.73691,315.378,300.385,0.859935,304.663,386.207,0.818576,214.699,351.848,0.803219,178.27,347.496,0.769236,144.064,424.667,0.774436,118.305,606.75,0.611387,251.152,360.344,0.735949,296.089,437.457,0.825471,272.581,608.821,0.728301,193.253,122.595,0.814792,212.651,122.599,0.910658,0.0,0.0,0.0,270.417,111.996,0.825852,253.271,636.753,0.604543,278.976,640.963,0.682121,270.416,619.544,0.476239,114.01,681.689,0.463788,101.203,673.145,0.428199,114.068,617.411,0.365367
12,1,197.536,135.474,0.886832,248.977,197.696,0.845846,186.894,197.559,0.781645,148.301,285.439,0.863418,126.836,368.887,0.912639,315.297,204.016,0.735551,315.38,300.385,0.859418,302.629,388.189,0.81943,214.696,351.84,0.805561,178.272,347.484,0.768941,144.062,424.67,0.775743,118.305,606.748,0.614214,251.147,358.271,0.738215,296.088,437.458,0.825197,272.587,608.827,0.724035,193.256,122.59,0.814831,212.657,122.59,0.908959,0.0,0.0,0.0,270.419,112.008,0.820608,251.163,636.707,0.594377,278.938,640.961,0.666691,272.543,619.568,0.467592,114.007,681.694,0.461232,101.199,673.142,0.428821,114.04,615.333,0.373285
13,1,197.53,135.461,0.887721,248.961,199.68,0.845112,186.88,197.565,0.78117,148.321,285.418,0.864119,126.834,368.88,0.91214,313.289,204.024,0.732894,315.386,300.37,0.862742,302.63,386.192,0.823633,214.695,351.838,0.804288,178.27,347.479,0.767661,144.048,426.77,0.76824,118.301,608.834,0.616074,251.145,358.268,0.738243,296.087,437.463,0.823205,274.669,608.815,0.728831,193.247,122.581,0.810372,212.656,122.593,0.908011,0.0,0.0,0.0,270.4,112.009,0.816108,248.949,634.581,0.598894,274.673,640.938,0.638068,276.802,619.575,0.478538,114.024,679.569,0.483341,101.216,673.109,0.443545,116.161,617.462,0.371812
14,1,197.53,135.467,0.885663,248.965,197.694,0.846936,186.906,197.555,0.780687,148.32,285.41,0.865799,126.835,368.881,0.913318,313.28,204.024,0.733285,315.388,300.387,0.861359,304.655,386.198,0.821798,214.687,351.835,0.803273,178.259,347.477,0.766715,144.033,428.902,0.755913,118.321,608.854,0.612438,251.14,358.267,0.737991,296.086,437.477,0.824558,274.671,608.835,0.737273,193.253,122.563,0.801956,212.657,122.588,0.908228,0.0,0.0,0.0,270.386,112.0,0.814276,246.815,634.547,0.601031,270.396,640.923,0.63278,278.916,621.694,0.502934,114.052,679.575,0.490519,103.296,673.121,0.456477,116.176,619.55,0.373945
15,1,197.531,135.459,0.887046,248.968,197.676,0.849144,186.906,197.535,0.785416,148.322,285.406,0.864995,126.84,368.875,0.914721,313.282,204.007,0.734978,315.39,300.384,0.862099,304.656,386.201,0.822384,214.682,351.837,0.801416,178.257,347.479,0.767714,144.014,431.038,0.756375,118.31,608.863,0.607795,251.137,358.273,0.737726,296.09,437.482,0.825013,274.66,608.839,0.735603,193.253,122.552,0.800918,212.659,122.562,0.906248,0.0,0.0,0.0,270.388,111.977,0.821434,246.835,632.447,0.611241,270.404,638.891,0.632066,278.915,621.684,0.49849,114.051,679.572,0.459571,103.319,673.107,0.426167,114.063,619.553,0.365646
16,1,197.527,135.452,0.888379,248.964,197.672,0.847445,188.973,197.532,0.780733,148.323,285.407,0.863805,126.838,368.873,0.915647,313.269,203.989,0.731899,315.389,300.37,0.860277,304.662,386.199,0.821434,214.684,351.837,0.801256,178.258,347.483,0.767905,144.036,428.957,0.754679,118.326,608.871,0.614922,251.139,358.272,0.738004,296.09,437.485,0.825613,274.66,608.839,0.736894,193.243,122.551,0.800088,212.661,122.558,0.905113,0.0,0.0,0.0,270.377,111.992,0.820464,246.826,632.448,0.614007,268.31,638.885,0.6302,278.934,621.679,0.501801,114.04,679.544,0.422198,103.351,668.874,0.399365,116.17,619.577,0.363889
17,1,197.53,135.46,0.887592,248.952,197.684,0.846263,186.884,197.556,0.781407,148.316,285.416,0.864867,126.834,368.882,0.914527,313.267,204.002,0.730825,315.39,300.373,0.86004,304.666,386.201,0.821298,214.678,351.833,0.801851,178.255,347.478,0.768464,144.043,428.926,0.757256,118.321,606.771,0.617997,251.132,358.27,0.739498,296.09,437.476,0.826426,274.673,608.834,0.740665,193.248,120.501,0.802304,212.664,122.562,0.905748,0.0,0.0,0.0,268.345,112.01,0.819369,246.833,632.443,0.621488,270.392,638.889,0.637659,278.948,619.617,0.508488,114.089,677.447,0.431169,105.477,666.744,0.410739,114.04,617.438,0.371101
18,1,197.525,135.462,0.886746,248.968,199.692,0.843799,186.891,197.564,0.777295,148.325,285.402,0.864486,126.833,368.881,0.913982,315.298,206.114,0.733844,315.385,300.394,0.860157,304.675,386.207,0.82066,214.674,351.839,0.801953,178.25,347.489,0.769566,144.047,428.904,0.755102,118.305,608.828,0.617939,251.125,358.277,0.740427,296.092,437.466,0.827195,274.664,608.867,0.730116,193.247,120.486,0.800726,212.664,122.562,0.904615,0.0,0.0,0.0,270.386,111.988,0.823771,246.82,632.476,0.607697,268.301,640.92,0.627369,278.935,621.736,0.497058,116.149,677.463,0.435156,105.493,668.867,0.412444,114.015,617.452,0.373128
19,1,197.516,135.45,0.887995,248.978,199.696,0.841461,186.894,197.557,0.77503,148.328,285.395,0.865839,126.835,368.881,0.914448,315.312,206.124,0.735626,315.39,300.394,0.861517,304.671,386.204,0.819555,214.676,351.839,0.803048,178.254,347.485,0.768619,144.069,426.807,0.756067,118.307,608.85,0.60898,251.128,358.276,0.740444,296.091,437.483,0.827319,274.656,608.865,0.73487,193.245,120.488,0.800351,212.655,122.564,0.904656,0.0,0.0,0.0,270.383,114.017,0.814387,246.828,632.468,0.615049,268.308,640.909,0.634878,278.926,621.712,0.502479,111.945,683.818,0.44534,103.322,675.25,0.411762,114.025,619.58,0.365094
