frame,person,KP_1_x,KP_1_y,KP_1_confidence,KP_2_x,KP_2_y,KP_2_confidence,KP_3_x,KP_3_y,KP_3_confidence,KP_4_x,KP_4_y,KP_4_confidence,KP_5_x,KP_5_y,KP_5_confidence,KP_6_x,KP_6_y,KP_6_confidence,KP_7_x,KP_7_y,KP_7_confidence,KP_8_x,KP_8_y,KP_8_confidence,KP_9_x,KP_9_y,KP_9_confidence,KP_10_x,KP_10_y,KP_10_confidence,KP_11_x,KP_11_y,KP_11_confidence,KP_12_x,KP_12_y,KP_12_confidence,KP_13_x,KP_13_y,KP_13_confidence,KP_14_x,KP_14_y,KP_14_confidence,KP_15_x,KP_15_y,KP_15_confidence,KP_16_x,KP_16_y,KP_16_confidence,KP_17_x,KP_17_y,KP_17_confidence,KP_18_x,KP_18_y,KP_18_confidence,KP_19_x,KP_19_y,KP_19_confidence,KP_20_x,KP_20_y,KP_20_confidence,KP_21_x,KP_21_y,KP_21_confidence,KP_22_x,KP_22_y,KP_22_confidence,KP_23_x,KP_23_y,KP_23_confidence,KP_24_x,KP_24_y,KP_24_confidence,KP_25_x,KP_25_y,KP_25_confidence
0,1,248.224,121.786,0.922612,287.474,191.123,0.768918,225.052,180.518,0.723963,169.815,246.432,0.755189,94.9394,294.61,0.841987,349.785,193.067,0.701633,401.484,292.824,0.838468,372.985,364.046,0.815786,262.553,349.885,0.713263,221.506,339.145,0.621219,127.038,349.931,0.812353,234.029,465.706,0.679047,303.479,364.031,0.64917,337.34,435.451,0.783294,207.27,405.144,0.599902,244.648,107.51,0.854538,264.265,109.229,0.926409,0.0,0.0,0.0,321.304,118.147,0.782938,0.0,0.0,0.0,0.0,0.0,0.0,207.207,392.62,0.314441,249.964,465.665,0.107686,235.748,481.716,0.106048,248.271,472.832,0.310883
1,1,248.223,121.78,0.924502,287.452,191.122,0.764993,225.047,180.519,0.725003,169.832,246.421,0.752289,94.943,294.61,0.841784,349.776,194.744,0.698776,401.474,292.823,0.836644,372.985,364.053,0.812638,262.554,349.878,0.711885,221.506,339.143,0.620125,127.04,351.575,0.81188,234.039,465.715,0.680722,303.476,362.354,0.64675,337.343,435.448,0.772958,207.268,405.142,0.600781,244.654,107.505,0.858548,264.262,109.226,0.929039,0.0,0.0,0.0,321.298,118.158,0.785237,0.0,0.0,0.0,0.0,0.0,0.0,207.212,392.622,0.312988,250.002,467.438,0.100634,235.767,483.509,0.110227,248.273,474.574,0.299687
2,1,248.221,121.792,0.922179,287.438,191.13,0.76591,223.337,180.53,0.726512,169.831,246.427,0.754084,94.9447,294.609,0.841661,349.777,194.756,0.696581,401.482,292.819,0.837025,373.012,364.036,0.816988,262.549,349.88,0.712683,221.509,339.143,0.620967,127.043,351.579,0.811563,234.025,465.701,0.681513,303.47,364.032,0.646607,337.337,435.446,0.786527,207.267,405.143,0.598858,244.652,107.517,0.853961,264.264,109.224,0.930739,0.0,0.0,0.0,321.321,118.145,0.787551,0.0,0.0,0.0,0.0,0.0,0.0,207.2,392.614,0.313673,249.963,465.721,0.111718,235.754,481.732,0.117246,248.256,472.809,0.316242
3,1,248.221,121.785,0.923369,287.442,191.117,0.762955,223.343,180.522,0.726541,169.832,246.427,0.753981,94.9446,294.611,0.841701,348.106,193.063,0.69581,401.481,292.816,0.83353,373.007,364.039,0.81951,262.545,349.877,0.713531,221.515,339.136,0.619714,127.042,351.579,0.811925,234.026,465.695,0.682596,303.476,364.041,0.644519,337.338,435.447,0.791612,207.261,405.143,0.596754,244.65,107.515,0.854091,264.26,109.219,0.932337,0.0,0.0,0.0,321.325,118.147,0.786957,0.0,0.0,0.0,0.0,0.0,0.0,207.202,392.614,0.312847,249.99,465.713,0.109004,235.754,481.742,0.120158,248.242,472.801,0.322241
4,1,248.222,121.782,0.92423,287.435,191.121,0.762894,223.332,180.524,0.72984,169.83,246.43,0.756214,94.9445,294.611,0.841709,348.102,193.066,0.695778,401.483,292.814,0.8348,373.001,364.043,0.815111,262.552,349.882,0.711337,221.512,339.146,0.620928,127.044,351.58,0.811454,234.026,465.691,0.68183,303.475,364.035,0.646083,337.346,435.453,0.776478,207.265,405.139,0.600675,244.65,107.519,0.851334,264.259,109.221,0.932093,0.0,0.0,0.0,321.321,118.145,0.788777,0.0,0.0,0.0,0.0,0.0,0.0,207.2,392.615,0.316369,249.968,465.744,0.106568,235.748,481.771,0.116912,248.263,471.044,0.326191
5,1,248.221,121.787,0.923936,287.426,191.122,0.761154,223.323,180.527,0.730967,169.818,246.437,0.756384,94.9439,294.61,0.841897,348.107,194.738,0.694847,401.472,292.811,0.835756,373.003,364.046,0.815781,262.546,349.88,0.712865,221.509,339.145,0.622009,127.042,351.579,0.811006,234.028,465.696,0.681073,303.467,364.035,0.646634,337.347,435.454,0.779064,207.262,405.139,0.598342,244.649,107.522,0.850251,264.255,109.219,0.932481,0.0,0.0,0.0,321.316,118.148,0.788986,0.0,0.0,0.0,0.0,0.0,0.0,207.198,392.613,0.314563,249.983,465.711,0.106691,235.756,481.762,0.114717,248.255,472.792,0.323124
6,1,248.219,121.795,0.922397,287.427,191.117,0.758622,223.326,180.525,0.730528,169.818,246.434,0.755336,94.9425,294.611,0.842102,348.103,193.063,0.690072,401.469,292.817,0.834079,373.005,364.051,0.814361,262.535,349.877,0.713551,221.502,339.144,0.622511,127.042,351.58,0.811328,234.027,465.698,0.679356,303.452,364.029,0.64461,337.352,435.455,0.778057,207.262,405.14,0.6006,244.651,107.529,0.846598,264.249,109.221,0.931617,0.0,0.0,0.0,321.312,118.15,0.784512,0.0,0.0,0.0,0.0,0.0,0.0,207.198,392.613,0.314534,249.993,465.69,0.115206,235.773,481.721,0.119139,248.251,472.792,0.317689
7,1,248.21,123.442,0.918689,287.422,191.125,0.759162,223.32,180.526,0.731253,169.81,246.442,0.75661,94.9423,294.609,0.843133,348.109,194.743,0.690195,401.48,292.827,0.834725,373.017,364.054,0.818252,262.541,349.875,0.71332,221.502,339.144,0.621156,127.043,351.579,0.811045,234.025,465.7,0.685576,303.459,362.346,0.645976,337.344,435.461,0.774647,207.266,405.141,0.601368,244.652,107.536,0.84207,264.242,109.226,0.93099,0.0,0.0,0.0,321.327,118.156,0.793616,0.0,0.0,0.0,0.0,0.0,0.0,207.204,392.614,0.309826,249.995,465.714,0.113294,235.752,481.711,0.114909,248.262,472.806,0.306073
8,1,248.205,121.8,0.9178,285.67,191.121,0.754688,223.293,180.533,0.734158,169.797,246.449,0.758647,94.9387,294.609,0.843206,348.06,193.054,0.697258,401.486,292.849,0.833257,373.006,364.04,0.82367,262.536,349.87,0.715185,221.498,339.143,0.621605,127.04,351.579,0.811558,234.035,465.701,0.684902,303.459,362.336,0.64463,337.344,435.461,0.781347,207.29,405.144,0.605155,244.646,107.537,0.845154,264.241,109.24,0.927353,0.0,0.0,0.0,321.313,118.165,0.786599,0.0,0.0,0.0,0.0,0.0,0.0,207.233,392.634,0.310557,249.975,463.974,0.109033,234.033,479.988,0.108327,248.27,474.566,0.282231
9,1,248.204,121.797,0.918909,285.658,189.455,0.751894,223.288,180.526,0.735903,169.809,246.443,0.758838,94.9394,294.609,0.843353,348.042,193.039,0.699352,401.48,292.842,0.832908,373.011,364.038,0.816921,262.54,349.872,0.715475,221.501,339.145,0.62198,127.04,351.579,0.812195,234.026,465.696,0.685886,303.463,362.345,0.647632,337.346,435.466,0.776488,207.291,405.144,0.608179,244.645,107.538,0.843707,264.24,109.239,0.927388,0.0,0.0,0.0,321.284,119.814,0.791871,0.0,0.0,0.0,0.0,0.0,0.0,207.229,392.63,0.319693,250.0,465.717,0.123032,235.776,481.704,0.123037,248.264,472.799,0.304209
10,1,248.201,121.797,0.917776,285.656,191.112,0.751804,223.289,180.528,0.735129,169.811,246.445,0.75943,94.9403,294.61,0.843449,348.045,193.047,0.698499,401.478,292.854,0.831578,373.003,364.043,0.817622,262.534,349.869,0.716125,221.497,339.143,0.622889,127.039,351.579,0.812371,234.028,465.697,0.68314,303.455,362.342,0.647437,337.344,435.464,0.777203,207.29,405.143,0.610314,244.646,107.537,0.843961,264.237,109.238,0.928532,0.0,0.0,0.0,321.283,119.812,0.786262,0.0,0.0,0.0,0.0,0.0,0.0,207.227,392.63,0.321337,249.993,465.713,0.123467,235.778,480.004,0.1246,248.269,472.792,0.305648
11,1,248.201,121.791,0.91958,285.665,191.13,0.757284,223.285,180.534,0.734451,169.809,246.448,0.76012,94.9406,294.61,0.842784,348.073,194.746,0.693794,401.479,292.862,0.831738,373.003,364.04,0.81324,262.523,349.87,0.713232,221.492,339.15,0.621994,127.039,351.578,0.812528,234.018,465.69,0.687432,303.438,362.339,0.644669,337.333,435.46,0.774875,207.285,405.142,0.611106,244.648,107.535,0.846876,264.235,109.236,0.930577,0.0,0.0,0.0,321.282,118.166,0.793148,0.0,0.0,0.0,0.0,0.0,0.0,207.233,392.631,0.31767,250.031,467.429,0.127145,235.8,481.707,0.132789,248.262,471.051,0.293051
12,1,248.202,121.789,0.919301,285.663,191.123,0.755738,223.294,180.531,0.735065,169.798,246.451,0.760631,94.941,294.612,0.842146,348.054,193.058,0.692961,401.495,292.875,0.829441,372.998,364.039,0.81407,262.517,349.871,0.715447,221.495,339.15,0.621712,127.038,351.582,0.81276,234.035,465.705,0.680561,303.435,362.346,0.643444,335.668,435.461,0.780446,207.282,405.14,0.608663,244.649,107.527,0.851098,264.243,109.237,0.930501,0.0,0.0,0.0,321.285,119.814,0.794561,0.0,0.0,0.0,0.0,0.0,0.0,207.231,392.627,0.317744,250.062,465.728,0.107061,235.806,483.508,0.118062,248.267,472.811,0.292624
