frame,person,KP_1_x,KP_1_y,KP_1_confidence,KP_2_x,KP_2_y,KP_2_confidence,KP_3_x,KP_3_y,KP_3_confidence,KP_4_x,KP_4_y,KP_4_confidence,KP_5_x,KP_5_y,KP_5_confidence,KP_6_x,KP_6_y,KP_6_confidence,KP_7_x,KP_7_y,KP_7_confidence,KP_8_x,KP_8_y,KP_8_confidence,KP_9_x,KP_9_y,KP_9_confidence,KP_10_x,KP_10_y,KP_10_confidence,KP_11_x,KP_11_y,KP_11_confidence,KP_12_x,KP_12_y,KP_12_confidence,KP_13_x,KP_13_y,KP_13_confidence,KP_14_x,KP_14_y,KP_14_confidence,KP_15_x,KP_15_y,KP_15_confidence,KP_16_x,KP_16_y,KP_16_confidence,KP_17_x,KP_17_y,KP_17_confidence,KP_18_x,KP_18_y,KP_18_confidence,KP_19_x,KP_19_y,KP_19_confidence,KP_20_x,KP_20_y,KP_20_confidence,KP_21_x,KP_21_y,KP_21_confidence,KP_22_x,KP_22_y,KP_22_confidence,KP_23_x,KP_23_y,KP_23_confidence,KP_24_x,KP_24_y,KP_24_confidence,KP_25_x,KP_25_y,KP_25_confidence
10,1,185.735,121.616,0.851324,185.739,177.217,0.742118,128.754,191.463,0.671228,120.152,295.48,0.825064,178.672,356.771,0.666446,244.14,162.982,0.680887,294.096,245.687,0.752329,294.076,278.436,0.72538,177.22,332.526,0.513297,143.009,329.71,0.507327,53.2047,345.327,0.767036,214.253,415.152,0.622121,211.454,331.126,0.497291,285.505,349.649,0.640754,110.221,395.231,0.457286,164.408,107.354,0.933058,198.645,98.8768,0.907448,141.543,114.518,0.641609,225.659,98.8584,0.65308,73.2159,429.434,0.483973,83.1162,428.003,0.469124,0.0,0.0,0.0,268.421,410.906,0.225616,259.859,422.318,0.199709,221.363,428.008,0.253236
11,1,185.753,121.617,0.859558,185.751,177.204,0.74651,128.764,191.449,0.672646,120.158,295.468,0.825963,178.668,356.771,0.666983,244.143,162.972,0.679637,294.1,247.027,0.747276,294.059,279.763,0.721667,177.227,332.527,0.511909,143.009,331.099,0.506729,53.2046,345.328,0.766549,214.256,415.151,0.622071,211.457,331.125,0.496485,284.084,349.631,0.649323,110.223,395.232,0.455639,164.423,107.361,0.93705,199.969,98.8881,0.90049,141.539,113.106,0.62552,227.097,100.235,0.678159,73.22,429.443,0.481085,83.118,428.011,0.465747,0.0,0.0,0.0,268.409,409.503,0.221465,259.867,422.318,0.195178,221.37,428.009,0.250824
12,1,185.777,121.628,0.863058,185.761,177.211,0.746705,128.775,191.464,0.672651,120.154,294.093,0.828632,178.652,356.758,0.671203,244.159,162.976,0.683812,294.075,245.663,0.767014,294.069,278.41,0.732937,177.241,332.538,0.511286,143.018,331.118,0.508671,53.2109,345.33,0.767792,214.26,415.152,0.621235,212.824,331.124,0.497758,284.099,349.629,0.649483,110.212,395.25,0.455696,164.439,107.363,0.938236,199.996,100.235,0.897329,141.582,114.526,0.611535,229.942,97.4334,0.767436,73.21,429.441,0.480899,83.1156,428.015,0.467124,0.0,0.0,0.0,268.435,410.914,0.222297,259.884,422.319,0.193323,221.375,426.635,0.253067
13,1,187.107,121.629,0.867086,185.775,177.212,0.746925,130.126,190.083,0.679111,120.155,294.097,0.82583,178.682,356.787,0.668991,244.179,164.326,0.680424,294.099,247.037,0.74676,294.063,279.815,0.697438,177.214,332.549,0.51405,142.992,331.118,0.508519,53.2088,345.327,0.766317,214.255,415.154,0.625985,211.45,332.53,0.497289,282.69,348.262,0.645644,110.227,395.252,0.453981,165.749,107.354,0.936407,200.017,100.237,0.893752,141.604,114.504,0.615203,231.331,97.4256,0.789894,73.1994,428.067,0.481559,83.1144,427.999,0.463304,0.0,0.0,0.0,269.819,412.338,0.229722,259.878,422.331,0.205333,221.36,428.007,0.257781
14,1,187.13,121.637,0.876311,187.121,177.193,0.741777,130.121,190.071,0.671339,120.158,295.479,0.819559,181.465,358.181,0.662854,244.155,162.97,0.668521,294.084,245.654,0.768269,295.503,278.362,0.714846,177.169,332.537,0.521206,142.975,329.713,0.509761,53.2068,343.97,0.764066,212.871,415.159,0.631659,211.408,332.533,0.496097,286.914,348.205,0.625836,110.241,395.225,0.458916,165.767,107.354,0.936665,200.036,100.233,0.88933,141.639,115.927,0.60082,231.318,98.8526,0.755909,73.1842,429.433,0.501397,81.7375,428.015,0.468151,0.0,0.0,0.0,268.407,408.067,0.215567,0.0,0.0,0.0,219.947,426.623,0.273396
15,1,187.134,121.639,0.87523,187.138,177.19,0.749425,130.125,190.044,0.678339,120.159,295.478,0.819784,181.465,358.182,0.658624,244.19,164.331,0.666172,295.476,247.017,0.754145,296.934,278.334,0.714377,177.197,331.133,0.516903,142.994,329.7,0.509841,53.2114,345.319,0.767169,212.871,415.161,0.631159,211.437,331.135,0.489353,286.922,348.192,0.635892,111.642,393.865,0.450661,165.777,107.354,0.938926,200.049,100.243,0.886651,142.961,115.912,0.603685,229.934,97.473,0.742305,73.1882,429.435,0.491412,81.7313,428.012,0.459265,0.0,0.0,0.0,255.596,392.373,0.263986,261.274,420.888,0.178738,219.954,426.617,0.273123
16,1,187.132,121.635,0.876454,185.786,177.203,0.738038,128.76,190.083,0.665581,120.159,295.477,0.820398,180.086,358.165,0.66049,244.168,164.328,0.661004,295.479,247.027,0.749466,296.939,276.99,0.718237,177.185,331.132,0.520892,142.986,329.693,0.512812,53.2157,345.32,0.764714,214.259,415.167,0.623267,211.422,331.135,0.49131,286.929,348.18,0.640509,110.245,395.225,0.455065,165.777,107.353,0.938231,200.048,100.24,0.886722,142.957,115.916,0.609083,231.313,97.4677,0.755141,73.1868,428.068,0.493442,81.7432,427.996,0.462504,0.0,0.0,0.0,268.425,408.06,0.206435,0.0,0.0,0.0,219.979,426.624,0.265914
17,1,187.122,121.619,0.881426,185.767,177.188,0.737336,128.765,190.063,0.674664,120.157,295.483,0.821973,180.074,358.153,0.663913,244.127,162.981,0.663744,292.638,244.231,0.819361,299.737,276.943,0.691166,177.177,332.538,0.520813,142.975,331.099,0.510932,53.2176,345.329,0.76762,214.253,415.161,0.618511,211.429,331.136,0.489683,285.516,348.281,0.614841,110.244,395.225,0.453149,165.778,107.336,0.931999,200.044,100.231,0.890032,141.635,114.527,0.608605,229.931,98.8108,0.741792,73.1813,428.062,0.493872,81.7324,427.994,0.460489,0.0,0.0,0.0,255.59,392.391,0.252346,259.86,422.315,0.172482,221.359,428.009,0.257598
18,1,185.782,121.613,0.877322,185.716,177.174,0.728847,128.724,190.05,0.672609,120.163,295.506,0.820908,180.091,358.173,0.658456,242.717,162.949,0.653761,291.292,245.572,0.815891,302.569,269.88,0.746124,175.81,332.538,0.52832,141.606,329.704,0.513749,53.2098,345.322,0.765284,214.249,415.166,0.618994,211.377,332.525,0.498236,288.37,348.252,0.61583,110.26,393.871,0.449809,165.757,107.328,0.926286,200.035,98.8875,0.895864,141.607,114.501,0.623732,229.949,97.4824,0.71574,73.181,428.064,0.493021,81.7336,427.996,0.458821,0.0,0.0,0.0,269.818,410.922,0.202733,0.0,0.0,0.0,221.353,428.01,0.258571
19,1,185.747,121.605,0.867667,185.75,177.214,0.733657,128.718,190.047,0.668226,120.151,295.501,0.820069,180.087,358.167,0.666913,242.774,164.371,0.65482,291.287,245.585,0.807846,302.623,271.251,0.737995,175.761,332.528,0.529656,141.575,328.288,0.52067,53.2049,345.325,0.765,214.247,415.175,0.622207,209.965,332.543,0.506144,288.362,348.197,0.614337,110.248,393.861,0.443993,164.434,107.319,0.917916,200.009,98.8824,0.901947,141.546,111.686,0.628027,229.903,98.8124,0.707982,73.1803,428.061,0.500728,81.7263,427.99,0.464745,0.0,0.0,0.0,269.845,413.766,0.212223,0.0,0.0,0.0,219.98,426.628,0.270381
