frame,person,KP_1_x,KP_1_y,KP_1_confidence,KP_2_x,KP_2_y,KP_2_confidence,KP_3_x,KP_3_y,KP_3_confidence,KP_4_x,KP_4_y,KP_4_confidence,KP_5_x,KP_5_y,KP_5_confidence,KP_6_x,KP_6_y,KP_6_confidence,KP_7_x,KP_7_y,KP_7_confidence,KP_8_x,KP_8_y,KP_8_confidence,KP_9_x,KP_9_y,KP_9_confidence,KP_10_x,KP_10_y,KP_10_confidence,KP_11_x,KP_11_y,KP_11_confidence,KP_12_x,KP_12_y,KP_12_confidence,KP_13_x,KP_13_y,KP_13_confidence,KP_14_x,KP_14_y,KP_14_confidence,KP_15_x,KP_15_y,KP_15_confidence,KP_16_x,KP_16_y,KP_16_confidence,KP_17_x,KP_17_y,KP_17_confidence,KP_18_x,KP_18_y,KP_18_confidence,KP_19_x,KP_19_y,KP_19_confidence,KP_20_x,KP_20_y,KP_20_confidence,KP_21_x,KP_21_y,KP_21_confidence,KP_22_x,KP_22_y,KP_22_confidence,KP_23_x,KP_23_y,KP_23_confidence,KP_24_x,KP_24_y,KP_24_confidence,KP_25_x,KP_25_y,KP_25_confidence
10,1,211.58,173.417,0.931322,214.06,249.677,0.861389,125.084,277.645,0.722258,175.887,425.057,0.798986,313.189,356.345,0.770118,300.484,216.582,0.746479,376.806,353.757,0.875101,236.895,414.747,0.603227,292.883,455.568,0.692129,231.792,475.812,0.66844,262.32,661.508,0.66116,364.025,869.915,0.413475,356.499,437.737,0.65266,414.837,623.295,0.700403,394.455,880.057,0.337263,191.154,150.492,0.949023,231.84,152.977,0.956597,152.943,153.121,0.799402,252.194,160.673,0.460629,346.215,897.87,0.0762691,0.0,0.0,0.0,404.681,887.706,0.212128,333.528,882.66,0.0951137,0.0,0.0,0.0,371.66,882.619,0.164312
11,1,211.576,173.419,0.931163,214.057,249.675,0.862076,125.084,277.645,0.722841,175.901,425.062,0.798752,313.173,356.348,0.771096,300.48,216.577,0.74728,376.795,353.763,0.877942,234.432,414.741,0.606763,292.887,455.561,0.693269,231.792,475.808,0.670463,259.861,661.447,0.668594,369.062,869.898,0.426378,356.495,437.733,0.653727,414.856,623.292,0.707242,392.007,880.097,0.329429,191.15,150.494,0.948542,231.841,152.973,0.95666,152.945,153.128,0.797472,252.199,160.659,0.464739,346.231,897.872,0.0790092,0.0,0.0,0.0,404.692,887.743,0.201396,333.561,882.647,0.0910267,0.0,0.0,0.0,374.215,882.572,0.155881
12,1,211.571,173.424,0.930972,214.061,249.678,0.861835,125.089,277.645,0.723784,175.892,425.059,0.800018,313.191,356.343,0.772827,300.485,216.581,0.74653,376.799,353.761,0.878266,234.417,414.744,0.609641,292.874,455.546,0.695507,231.773,475.8,0.670419,259.854,661.435,0.672642,366.543,869.891,0.422044,356.478,437.713,0.657063,414.859,620.883,0.711561,391.992,880.074,0.343672,191.146,150.5,0.949671,231.842,152.984,0.956739,152.936,153.1,0.801246,252.196,160.667,0.459382,346.213,897.868,0.0834375,0.0,0.0,0.0,402.184,887.73,0.209055,333.548,885.162,0.0952852,333.595,887.736,0.116352,374.149,882.596,0.154772
13,1,211.565,173.427,0.931233,214.06,249.674,0.861726,125.093,277.638,0.724564,175.882,425.049,0.801227,313.204,356.34,0.772332,300.478,216.58,0.747634,376.798,353.761,0.878654,234.406,414.745,0.611383,292.856,455.529,0.695048,231.758,475.785,0.669087,262.305,661.453,0.665307,364.057,869.892,0.414186,356.458,437.696,0.656917,414.855,620.891,0.712829,391.951,880.092,0.350585,191.146,150.508,0.95032,231.831,152.992,0.955118,152.928,153.124,0.805535,252.193,160.666,0.470121,346.244,900.322,0.0849574,356.393,908.086,0.0818345,402.14,887.747,0.209303,333.547,885.167,0.0920853,333.589,887.747,0.112986,371.646,882.595,0.147324
14,1,211.575,173.428,0.929609,214.046,249.649,0.858913,125.031,277.605,0.723316,175.893,427.561,0.802286,313.127,356.337,0.77166,300.476,216.558,0.751078,376.765,353.781,0.888682,234.4,414.74,0.604113,292.872,455.526,0.691625,231.749,473.359,0.666166,259.827,658.981,0.68125,348.739,869.938,0.416227,356.493,437.713,0.654978,414.834,623.401,0.691058,389.407,882.596,0.404681,191.145,150.518,0.95015,231.84,152.99,0.951819,152.926,153.177,0.799844,252.188,160.662,0.469626,358.96,905.573,0.0652736,407.247,905.569,0.0924114,394.564,890.26,0.224409,315.775,882.613,0.0754509,0.0,0.0,0.0,353.803,882.655,0.226438
15,1,211.57,173.429,0.929606,214.046,249.652,0.858851,125.041,277.615,0.721798,175.889,427.569,0.803497,313.131,356.336,0.774655,300.476,216.561,0.751291,376.766,353.779,0.889239,234.4,414.742,0.609027,292.866,455.498,0.689358,231.74,473.337,0.664955,257.34,658.974,0.694441,348.797,869.943,0.417775,356.479,437.686,0.654541,414.821,625.833,0.691457,386.924,882.617,0.41044,191.144,150.517,0.949502,231.839,152.992,0.951637,152.928,153.166,0.80239,252.193,160.66,0.469859,353.849,905.498,0.0655165,386.913,910.65,0.0901322,394.561,890.28,0.228174,315.804,882.571,0.0790383,0.0,0.0,0.0,353.812,882.664,0.21647
16,1,211.578,173.431,0.927975,214.04,249.655,0.85932,125.033,277.629,0.721129,175.872,427.553,0.804051,313.129,356.332,0.774918,300.48,216.555,0.752335,376.758,353.772,0.887607,234.398,414.747,0.609095,292.867,455.516,0.690464,231.731,473.351,0.666035,259.778,658.994,0.694428,351.354,872.424,0.437607,356.478,437.709,0.656415,414.84,623.386,0.691331,386.911,882.652,0.410737,191.146,150.517,0.948885,231.84,152.991,0.951637,152.929,155.565,0.798952,252.205,160.665,0.475047,348.787,905.408,0.0711699,386.91,913.164,0.0901438,394.555,892.776,0.228443,318.257,882.651,0.0762163,0.0,0.0,0.0,353.887,882.674,0.20864
17,1,211.572,173.427,0.930162,214.047,249.656,0.858806,125.042,277.626,0.721815,175.87,427.549,0.805053,313.129,356.331,0.775582,300.469,216.558,0.752052,376.751,353.773,0.889311,234.391,414.737,0.609473,292.864,455.517,0.692436,231.727,473.354,0.666842,259.798,658.991,0.68969,353.808,874.969,0.450568,356.468,437.707,0.655832,414.841,625.858,0.688621,386.857,885.179,0.419257,191.142,150.517,0.947008,231.838,152.992,0.949555,152.931,155.604,0.800175,252.206,160.673,0.478857,343.699,903.045,0.0787778,407.237,908.079,0.0912042,394.52,895.332,0.227151,318.311,885.161,0.0707106,0.0,0.0,0.0,353.888,885.12,0.19659
18,1,211.563,173.43,0.9306,214.053,249.653,0.860204,125.051,277.616,0.723929,175.875,427.572,0.805744,313.121,356.335,0.773308,300.456,216.566,0.751952,376.756,353.769,0.889072,234.383,414.737,0.611552,292.85,455.512,0.693587,229.325,473.346,0.667523,259.786,658.98,0.697801,353.918,869.926,0.443199,356.461,437.7,0.656136,414.839,623.345,0.703568,384.378,885.173,0.422419,191.14,150.517,0.9496,231.824,152.998,0.950514,152.924,155.589,0.795507,252.191,160.672,0.474571,343.68,902.965,0.086842,374.202,928.398,0.0972003,394.538,895.309,0.230548,318.377,882.619,0.0747331,0.0,0.0,0.0,356.375,882.646,0.169573
19,1,211.576,173.424,0.932199,214.066,249.647,0.858507,125.062,277.597,0.727584,175.903,427.561,0.804941,313.113,356.34,0.77126,300.472,216.56,0.749056,376.748,353.777,0.891647,234.372,414.738,0.615221,292.849,455.504,0.694318,229.325,473.35,0.669452,259.815,658.995,0.696131,364.007,867.427,0.461991,356.458,437.687,0.655783,414.816,623.285,0.709344,384.37,887.703,0.407301,191.15,150.524,0.951994,231.827,152.996,0.952445,152.929,155.602,0.798474,252.19,160.647,0.470169,341.15,900.385,0.105693,364.035,928.4,0.100124,397.048,897.888,0.236866,333.46,885.164,0.0773092,0.0,0.0,0.0,371.661,880.097,0.132613
20,1,211.579,173.418,0.934225,214.049,249.65,0.861327,125.055,277.609,0.725655,175.877,427.566,0.807705,313.141,356.34,0.771689,300.44,216.547,0.754466,376.756,353.771,0.891441,234.365,414.743,0.614322,292.855,455.508,0.696321,231.732,473.362,0.671351,259.79,658.979,0.702351,356.459,869.889,0.447054,356.458,437.688,0.658846,414.858,620.889,0.715812,386.876,885.169,0.41814,191.157,150.518,0.950846,231.834,153.002,0.952097,152.935,155.594,0.796765,252.199,163.14,0.47176,341.163,900.442,0.101506,0.0,0.0,0.0,394.576,895.346,0.240488,330.966,892.756,0.0908642,330.948,892.782,0.109627,358.951,882.617,0.152609
21,1,211.579,173.413,0.93597,214.044,249.65,0.861116,125.049,277.613,0.724427,175.87,427.579,0.807781,313.16,356.341,0.77018,300.432,216.557,0.75146,376.759,353.772,0.891578,234.354,414.74,0.615203,292.872,455.547,0.695904,231.738,475.797,0.669539,259.818,659.0,0.685326,361.481,869.947,0.453922,356.491,437.731,0.658005,414.825,623.333,0.708546,384.404,887.697,0.395137,191.155,150.521,0.950745,231.833,153.001,0.951702,152.927,155.615,0.795385,252.189,163.149,0.458807,343.693,902.84,0.0951141,0.0,0.0,0.0,397.042,897.865,0.228163,333.528,890.244,0.0747371,0.0,0.0,0.0,366.581,882.596,0.137213
