frame,person,KP_0_x,KP_0_y,KP_0_confidence,KP_1_x,KP_1_y,KP_1_confidence,KP_2_x,KP_2_y,KP_2_confidence,KP_3_x,KP_3_y,KP_3_confidence,KP_4_x,KP_4_y,KP_4_confidence,KP_5_x,KP_5_y,KP_5_confidence,KP_6_x,KP_6_y,KP_6_confidence,KP_7_x,KP_7_y,KP_7_confidence,KP_8_x,KP_8_y,KP_8_confidence,KP_9_x,KP_9_y,KP_9_confidence,KP_10_x,KP_10_y,KP_10_confidence,KP_11_x,KP_11_y,KP_11_confidence,KP_12_x,KP_12_y,KP_12_confidence,KP_13_x,KP_13_y,KP_13_confidence,KP_14_x,KP_14_y,KP_14_confidence,KP_15_x,KP_15_y,KP_15_confidence,KP_16_x,KP_16_y,KP_16_confidence,KP_17_x,KP_17_y,KP_17_confidence,KP_18_x,KP_18_y,KP_18_confidence,KP_19_x,KP_19_y,KP_19_confidence,KP_20_x,KP_20_y,KP_20_confidence,KP_21_x,KP_21_y,KP_21_confidence,KP_22_x,KP_22_y,KP_22_confidence,KP_23_x,KP_23_y,KP_23_confidence,KP_24_x,KP_24_y,KP_24_confidence
0,1,368.754,124.755,0.0819945,233.449,186.911,0.639357,184.652,195.69,0.595411,273.316,379.742,0.7527,388.71,275.485,0.793003,288.873,184.549,0.581078,346.569,293.269,0.417443,413.067,257.825,0.195861,233.448,402.034,0.549876,173.546,417.615,0.50961,202.261,628.361,0.711507,273.436,719.279,0.724768,291.038,384.262,0.461893,397.584,501.861,0.734722,342.11,663.795,0.674489,0.0,0.0,0.0,0.0,0.0,0.0,246.764,133.568,0.0548736,0.0,0.0,0.0,399.85,730.319,0.453448,402.054,717.046,0.432867,319.893,681.483,0.580325,304.402,772.427,0.571483,280.052,770.294,0.661696,293.268,714.78,0.5614
1,1,373.176,131.39,0.103513,226.752,186.871,0.575609,184.619,193.514,0.58293,262.271,377.636,0.721277,382.124,275.55,0.781749,282.2,182.411,0.435324,339.904,293.309,0.28906,395.363,268.889,0.157649,233.394,404.225,0.527603,171.345,419.806,0.512867,202.265,628.368,0.690771,275.497,719.317,0.718765,291.043,382.096,0.459002,397.614,504.051,0.762218,342.12,663.719,0.670974,366.508,118.042,0.149311,0.0,0.0,0.0,337.695,118.057,0.291359,0.0,0.0,0.0,399.854,730.326,0.453503,402.058,717.05,0.425714,319.901,679.283,0.556376,302.202,772.443,0.582636,280.02,770.307,0.672545,291.159,714.822,0.552769
2,1,353.235,120.305,0.0748885,224.543,186.857,0.603107,182.361,195.677,0.56367,255.591,379.754,0.760066,379.788,277.776,0.804648,279.983,182.351,0.49935,337.655,288.914,0.271348,386.504,273.379,0.0849991,231.196,406.446,0.501467,169.122,421.984,0.527863,200.097,630.488,0.699807,275.509,719.259,0.712321,291.062,382.076,0.440866,397.582,504.038,0.767014,344.237,661.583,0.691882,0.0,0.0,0.0,0.0,0.0,0.0,262.254,135.847,0.138114,0.0,0.0,0.0,397.558,728.1,0.462548,399.838,717.011,0.464537,319.968,677.103,0.570704,302.184,772.488,0.577794,280.021,770.331,0.666,293.307,712.623,0.552361
3,1,353.242,120.311,0.0553681,224.556,186.858,0.621377,182.354,200.111,0.582822,242.386,377.566,0.728535,375.413,280.014,0.737001,275.641,177.936,0.539875,333.234,286.639,0.351318,384.323,286.681,0.141563,231.171,404.28,0.498685,169.105,424.195,0.526405,200.134,630.531,0.699956,275.505,719.329,0.705576,288.863,382.04,0.449874,397.589,504.04,0.763603,344.245,661.56,0.692469,0.0,0.0,0.0,0.0,0.0,0.0,271.15,140.267,0.199537,0.0,0.0,0.0,397.564,725.909,0.480341,399.844,714.835,0.482219,319.967,677.089,0.555819,302.213,772.49,0.567073,280.049,772.44,0.663992,293.291,714.83,0.547585
4,1,277.843,164.668,0.11715,220.037,186.852,0.612079,173.573,202.316,0.572537,237.781,379.744,0.792749,364.29,288.897,0.777411,266.686,173.575,0.515408,328.854,280.048,0.392215,379.828,313.287,0.200926,226.769,406.463,0.478757,166.926,428.603,0.527027,200.174,630.523,0.690229,275.514,721.43,0.712399,288.847,379.871,0.447404,397.555,504.076,0.760042,344.259,661.542,0.683925,277.79,151.297,0.14499,0.0,0.0,0.0,257.813,135.823,0.352281,0.0,0.0,0.0,395.321,723.7,0.486843,399.768,714.813,0.518939,319.97,677.075,0.538449,302.182,772.465,0.574953,280.025,772.42,0.668983,293.271,716.953,0.549535
5,1,277.878,164.617,0.113952,220.043,186.82,0.61639,173.573,200.166,0.572174,237.775,379.737,0.79132,364.289,288.897,0.779244,266.695,175.718,0.516989,328.88,282.204,0.392423,379.807,313.28,0.196294,226.768,408.695,0.480553,169.029,430.838,0.533066,200.168,630.509,0.693827,275.531,721.453,0.714751,288.856,382.022,0.449645,397.576,504.079,0.762496,344.27,659.37,0.681664,277.844,149.189,0.143294,0.0,0.0,0.0,257.83,135.782,0.359863,0.0,0.0,0.0,390.938,723.675,0.489875,397.63,714.803,0.53585,319.952,674.896,0.528102,302.196,772.475,0.575337,280.04,772.433,0.672251,293.304,716.969,0.551515
6,1,273.42,155.828,0.0861795,220.085,184.684,0.628618,171.302,200.118,0.570793,226.804,379.731,0.759365,357.67,293.261,0.77327,271.137,173.514,0.535334,326.617,280.038,0.302816,388.681,275.515,0.137041,231.186,408.649,0.486705,166.899,430.804,0.531965,202.297,630.457,0.686579,275.507,721.456,0.719021,291.055,379.894,0.456641,397.593,504.006,0.761879,344.325,661.547,0.688294,271.125,149.2,0.0815449,0.0,0.0,0.0,255.605,133.676,0.223051,0.0,0.0,0.0,397.56,725.909,0.463959,399.856,716.99,0.478333,322.184,679.264,0.551688,302.182,772.465,0.589354,280.028,772.431,0.683055,293.276,716.96,0.55358
7,1,348.749,115.776,0.0695638,220.073,184.524,0.638466,169.086,189.097,0.571344,220.099,379.769,0.827813,351.041,293.347,0.756367,273.378,173.506,0.532561,326.63,280.024,0.320006,370.964,326.584,0.199224,228.963,408.644,0.479293,166.81,430.829,0.53051,200.131,628.346,0.705182,275.519,721.441,0.702737,288.916,379.876,0.445478,397.633,504.001,0.758467,344.369,659.38,0.687925,348.799,98.1684,0.14771,0.0,0.0,0.0,322.187,100.305,0.4851,0.0,0.0,0.0,395.31,721.516,0.477585,399.775,712.618,0.513824,324.334,674.893,0.534807,299.989,772.495,0.587916,279.99,772.439,0.679138,293.306,716.971,0.544779
8,1,271.132,151.358,0.10805,211.215,182.399,0.631065,153.599,184.654,0.562519,202.331,379.807,0.80178,344.267,295.521,0.725466,271.074,175.763,0.575581,326.543,277.778,0.335872,382.079,328.86,0.23106,231.179,399.884,0.488433,164.632,424.188,0.510704,195.686,626.1,0.706538,273.425,719.259,0.702633,291.083,377.587,0.46733,399.787,504.006,0.754181,346.568,654.924,0.691774,266.716,146.878,0.106889,0.0,0.0,0.0,242.292,129.14,0.194995,0.0,0.0,0.0,388.695,719.263,0.526179,397.615,710.369,0.57742,326.566,666.068,0.549897,302.181,772.489,0.586266,280.008,772.429,0.66865,293.306,714.802,0.540787
9,1,322.187,109.227,0.0540395,209.003,175.722,0.583629,155.799,184.552,0.55233,195.738,377.623,0.759439,337.715,295.543,0.705734,266.673,169.102,0.514523,315.522,275.623,0.238514,366.5,299.979,0.0934038,231.19,397.564,0.496706,164.626,419.749,0.506482,197.894,626.078,0.703823,275.501,719.291,0.715868,288.888,370.961,0.464645,399.741,503.991,0.760608,346.652,652.719,0.690819,0.0,0.0,0.0,0.0,0.0,0.0,233.438,115.79,0.147146,0.0,0.0,0.0,384.288,717.075,0.53676,397.583,708.138,0.583036,326.651,665.999,0.555899,302.206,772.478,0.578355,280.025,772.42,0.662937,293.313,714.831,0.545023
10,1,335.488,104.742,0.125934,206.867,177.989,0.579896,151.387,184.664,0.55805,184.701,377.588,0.805439,328.793,304.358,0.737064,268.922,169.146,0.526321,308.836,282.215,0.187979,346.539,313.334,0.0717944,226.8,397.641,0.521923,162.452,419.821,0.501992,200.09,626.095,0.712036,275.514,721.464,0.715546,288.85,375.402,0.467329,399.752,501.883,0.756818,348.76,652.73,0.682855,331.063,91.4209,0.144007,0.0,0.0,0.0,302.175,84.7789,0.247742,0.0,0.0,0.0,386.496,719.238,0.521176,399.739,710.367,0.57354,328.735,666.008,0.548146,302.224,772.487,0.561675,280.025,772.446,0.663645,293.295,717.014,0.539988
11,1,337.657,98.1054,0.236557,211.218,180.151,0.631161,151.349,184.661,0.582931,180.145,377.652,0.774514,324.421,306.623,0.750107,273.311,169.176,0.593347,299.955,288.883,0.15501,326.652,333.278,0.0790826,233.39,402.025,0.547012,169.054,424.222,0.496833,202.257,626.087,0.706616,275.495,721.477,0.71465,291.08,379.853,0.496307,399.77,503.957,0.760025,346.661,654.945,0.681575,331.034,80.3353,0.264067,0.0,0.0,0.0,295.568,78.1739,0.299939,0.0,0.0,0.0,388.685,719.272,0.522129,397.636,710.379,0.56803,326.663,668.198,0.543547,306.631,772.514,0.55323,280.049,772.466,0.660891,291.164,717.011,0.53784
12,1,322.157,98.1159,0.112594,209.001,173.535,0.6096,151.296,182.41,0.574147,169.192,377.573,0.779921,319.933,308.821,0.764413,271.157,169.072,0.540222,300.005,286.667,0.128094,326.617,333.299,0.0761369,233.415,399.825,0.55306,169.123,421.979,0.512333,202.324,628.218,0.717262,275.503,721.497,0.722778,291.155,379.785,0.488099,399.73,501.886,0.754022,348.76,652.685,0.682788,0.0,0.0,0.0,0.0,0.0,0.0,220.137,113.551,0.129269,0.0,0.0,0.0,384.321,717.022,0.549288,397.539,705.935,0.596023,328.755,665.995,0.541344,306.639,772.504,0.554332,280.038,772.451,0.664352,293.271,717.021,0.532408
13,1,344.251,95.8745,0.185354,211.232,173.514,0.628226,149.174,182.42,0.581975,169.014,377.647,0.819318,315.531,308.861,0.7619,273.415,169.033,0.570456,299.961,286.667,0.123311,326.512,335.47,0.0731816,235.581,399.833,0.544518,171.298,421.996,0.512098,200.178,626.104,0.709401,275.508,719.34,0.720131,293.333,377.65,0.477033,399.762,501.83,0.743808,348.803,657.098,0.677988,337.698,80.3107,0.272609,0.0,0.0,0.0,304.378,80.3554,0.532903,0.0,0.0,0.0,382.078,717.025,0.546348,397.535,705.954,0.573306,328.81,666.061,0.558063,304.437,772.504,0.560918,280.031,772.448,0.662584,293.306,716.956,0.536893
14,1,335.446,95.8455,0.141827,209.019,171.343,0.643851,146.898,182.388,0.567371,164.671,375.384,0.779382,313.306,308.877,0.750435,275.625,166.904,0.584611,299.967,288.869,0.114114,315.516,344.356,0.0598178,235.604,399.852,0.542678,171.373,424.187,0.510511,202.303,628.215,0.710857,275.534,721.44,0.72651,293.37,377.641,0.474834,397.652,501.787,0.734917,348.851,661.527,0.665795,328.822,78.2056,0.19218,0.0,0.0,0.0,293.398,78.1942,0.429484,0.0,0.0,0.0,390.903,721.501,0.528585,399.778,714.773,0.585351,328.822,670.476,0.54632,304.437,772.498,0.55571,280.029,772.447,0.668826,293.315,716.973,0.541866
15,1,337.72,98.0569,0.0933535,206.786,169.187,0.641213,140.275,182.425,0.55924,162.425,370.963,0.759441,311.045,308.815,0.768724,275.543,164.673,0.578792,299.974,286.654,0.0996635,317.729,344.414,0.05029,235.675,399.857,0.553885,173.561,422.024,0.518218,200.175,626.106,0.699071,275.529,721.45,0.732023,295.585,379.774,0.486158,399.736,501.786,0.744844,351.0,661.583,0.667554,328.747,82.5959,0.126008,0.0,0.0,0.0,293.34,80.3169,0.360527,0.0,0.0,0.0,393.146,723.672,0.515746,399.859,714.815,0.570801,328.846,672.69,0.541616,304.412,772.493,0.5635,280.013,772.439,0.673697,293.324,716.978,0.558246
